Run, PostgresBulk, MysqlBatch,customer,lineitem,nation,orders,part,partsupp,region,supplier,Total Elapsed
Run 3, PostgresBulk 5000, MysqlBatch 20000,4.67095685005188,374.24860286712646,0.005659818649291992,75.14871573448181,5.985824346542358,36.211660861968994,0.005002260208129883,0.25757384300231934,496.5368824005127
Run 4, PostgresBulk 5000, MysqlBatch 20000,4.605660438537598,395.47715616226196,0.005455732345581055,67.30147314071655,13.702158212661743,37.67101836204529,0.004547834396362305,0.2564842700958252,519.0267932415009
Run 0, PostgresBulk 5000, MysqlBatch 50000,4.990232706069946,399.35520219802856,0.004616975784301758,76.30183148384094,6.513359069824219,19.41698169708252,0.0043485164642333984,0.25838780403137207,506.8478457927704
Run 1, PostgresBulk 5000, MysqlBatch 50000,5.003556489944458,391.23694014549255,0.005585908889770508,91.21196389198303,6.494166851043701,19.299864292144775,0.0049402713775634766,0.2575559616088867,513.5174956321716
Run 2, PostgresBulk 5000, MysqlBatch 50000,5.006412982940674,409.0990960597992,0.00560307502746582,101.88944792747498,7.1067728996276855,45.926888942718506,0.004299640655517578,0.2553987503051758,569.2968940734863
Run 3, PostgresBulk 5000, MysqlBatch 50000,5.103453636169434,401.9624345302582,0.005316734313964844,59.696067333221436,6.994459390640259,49.89601755142212,0.004689693450927734,0.25893640518188477,523.9245920181274
Run 4, PostgresBulk 5000, MysqlBatch 50000,5.264313697814941,392.4846432209015,0.004690408706665039,71.93315553665161,14.797258377075195,36.34002232551575,0.005681514739990234,0.2789452075958252,521.111743927002
Run 0, PostgresBulk 5000, MysqlBatch 100000,5.393108129501343,436.3559548854828,0.004887580871582031,65.6425256729126,19.23653483390808,52.37323546409607,1.322298526763916,0.31459474563598633,580.9962632656097
Run 1, PostgresBulk 5000, MysqlBatch 100000,5.4140541553497314,416.5646183490753,0.005689859390258789,63.701988220214844,20.716062545776367,23.93769907951355,0.004385948181152344,0.2579309940338135,530.6052238941193
Run 2, PostgresBulk 5000, MysqlBatch 100000,5.913604497909546,404.79590106010437,0.005140781402587891,63.396156549453735,8.387225866317749,33.93619775772095,0.0045201778411865234,0.25429320335388184,516.6962354183197
Run 3, PostgresBulk 5000, MysqlBatch 100000,5.85570216178894,399.6804494857788,0.0054323673248291016,68.41265606880188,8.142808198928833,23.070854902267456,0.004564523696899414,0.25597214698791504,505.4313225746155
Run 4, PostgresBulk 5000, MysqlBatch 100000,5.905861854553223,407.4426529407501,0.004514455795288086,74.63390398025513,8.392981052398682,26.177573442459106,0.005013704299926758,0.25490808486938477,522.8203194141388
